"","bivalve_ID","Date","shelf","tank","experiment_stage","timepoint","treatment","epf_ph","discolored","TankID","DateWC","PCO2","Sal_Corr","pH","Temp","Collection_Code","pHadj","day_code","day_coden"
"93",17113,2017-07-24,1,1,"exposure","Experiment_6","400",7.800383877,"no",1,2017-07-24,400,30.64318919,7.805714286,18.3,"RRR",-0.00533040899999992,76,76
"94",17114,2017-06-26,6,2,"exposure","Experiment_5","2800",7.5,"no",17,2017-06-26,2800,31.312833,7.452513966,16.6,"ILIV",0.0474860340000003,48,48
"95",17116,2017-06-26,3,2,"exposure","Experiment_5","900",7.275862069,"no",8,2017-06-26,900,31.212792,7.675977654,16.8,"RRR",-0.400115585,48,48
"96",17117,2017-06-06,2,2,"exposure","Experiment_3","400",6.982725561,"yes",5,2017-06-06,400,30.22386707,7.824299065,17.8,"ILIV",-0.841573504,28,28
"97",17119,2017-06-05,1,3,"exposure","Experiment_2","400",7.466409853,"no",3,2017-06-05,400,30.52271327,7.816135084,18.1,"ILIV",-0.349725231,27,27
"98",17120,2017-07-24,3,1,"exposure","Experiment_6","900",7.731285988,"no",7,2017-07-24,900,30.67656957,7.514285714,18,"RRR",0.217000274,76,76
"99",17121,2017-05-17,3,3,"acclimation","Acclimation_2","acclimation",7.300589391,"no",9,2017-05-17,900,29.34135435,7.758364312,17,"RSI",-0.457774921,8,8
"100",17122,2017-06-13,4,1,"exposure","Experiment_4","2800",7.857963804,"no",10,2017-06-12,2800,30.33085874,7.154875717,17.7,"ILIV",0.703088086999999,35,35
"101",17123,2017-08-24,5,1,"exposure","Experiment_7","900",7.141453831,"no",13,2017-08-23,900,31.49498182,7.470149254,19.5,"RRR",-0.328695423,107,107
"102",17124,2017-05-17,5,3,"acclimation","Acclimation_2","acclimation",7.300589391,"no",15,2017-05-17,900,29.34135435,7.769516729,17.6,"RSI",-0.468927338,8,8
"103",17126,2017-08-24,1,2,"exposure","Experiment_7","400",7.63064833,"no",2,2017-08-23,400,31.49498182,7.688432836,19.2,"RRR",-0.057784506,107,107
"104",17127,2017-06-02,3,3,"exposure","Experiment_1","900",7.524283356,"no",9,2017-06-02,900,29.2986542213,7.719101124,17.2,"RRR",-0.194817768,24,24
"105",17129,2017-07-24,4,3,"exposure","Experiment_6","2800",7.414587332,"no",12,2017-07-24,2800,30.54304805,7.04,19,"RSI",0.374587332,76,76
"106",17130,2017-08-22,6,3,"exposure","Experiment_7","2800",7.097518754,"no",18,2017-08-21,2800,31.22782979,7.066914498,19.3,"RRR",0.0306042560000002,105,105
"107",17131,2017-06-05,6,2,"exposure","Experiment_2","2800",6.861804488,"no",17,2017-06-05,2800,30.52271327,7.090056285,17.6,"ILIV",-0.228251797,27,27
"108",17133,2017-07-24,4,1,"exposure","Experiment_6","2800",7.161228407,"no",10,2017-07-24,2800,30.64318919,7.051428571,18.9,"RRR",0.109799836000001,76,76
